activeDealId,candidateId,provider,packageName,sourceName,sourceType,sourceUrl,advertisedMonthlyPrice,effectiveMonthlyPrice,sourceEffectiveMonthlyPrice,setupFeeStatus,effectivePriceCaveat,contractLengthMonths,annualAprilPriceRise,setupFee,speedMbps,speedTier,extractionConfidence,extractionQuality,activeFeedTrustLevel,productType,connectionTechnology,serviceCategory,landlineStatus,callsPackageStatus,homepageCategory,showOnHomepage,dataFreshnessStatus,fallbackReason,fallbackSource,lastKnownGoodCheckedAt,availabilityScope,publishStatus,requiresHumanReview
active-fallback-talktalk-fibre-35,,TalkTalk,Fibre 35,TalkTalk,provider-direct,https://www.talktalk.co.uk/broadband,26,28.67,,known-zero,This row uses last-known-good extracted review data because the provider source was unavailable in the latest run.,24,4,0,35,35-75 Mbps,fallback,usable-calculated,provider-direct-fallback-calculated,broadband-only,fixed-line-broadband,broadband-only,not-included,not-included,Fixed broadband,true,last-known-good-fallback,"Provider source was unavailable in the latest run, so this row uses the last-known-good extracted review data.",last-known-good,previous-successful-run,provider-landing-page-not-postcode-checked,active-review-only,true
active-fallback-talktalk-fibre-65,,TalkTalk,Fibre 65,TalkTalk,provider-direct,https://www.talktalk.co.uk/broadband,26,28.67,,known-zero,This row uses last-known-good extracted review data because the provider source was unavailable in the latest run.,24,4,0,65,35-75 Mbps,fallback,usable-calculated,provider-direct-fallback-calculated,broadband-only,fixed-line-broadband,broadband-only,not-included,not-included,Fixed broadband,true,last-known-good-fallback,"Provider source was unavailable in the latest run, so this row uses the last-known-good extracted review data.",last-known-good,previous-successful-run,provider-landing-page-not-postcode-checked,active-review-only,true
active-fallback-talktalk-full-fibre-150,,TalkTalk,Full Fibre 150,TalkTalk,provider-direct,https://www.talktalk.co.uk/broadband,24,26.67,,known-zero,This row uses last-known-good extracted review data because the provider source was unavailable in the latest run.,24,4,0,150,100-300 Mbps,fallback,usable-calculated,provider-direct-fallback-calculated,broadband-only,fixed-line-broadband,broadband-only,not-included,not-included,Fixed broadband,true,last-known-good-fallback,"Provider source was unavailable in the latest run, so this row uses the last-known-good extracted review data.",last-known-good,previous-successful-run,provider-landing-page-not-postcode-checked,active-review-only,true
active-fallback-talktalk-full-fibre-500,,TalkTalk,Full Fibre 500,TalkTalk,provider-direct,https://www.talktalk.co.uk/broadband,30,32.67,,known-zero,This row uses last-known-good extracted review data because the provider source was unavailable in the latest run.,24,4,0,500,500-900 Mbps,fallback,usable-calculated,provider-direct-fallback-calculated,broadband-only,fixed-line-broadband,broadband-only,not-included,not-included,Fixed broadband,true,last-known-good-fallback,"Provider source was unavailable in the latest run, so this row uses the last-known-good extracted review data.",last-known-good,previous-successful-run,provider-landing-page-not-postcode-checked,active-review-only,true
active-fallback-talktalk-full-fibre-900,,TalkTalk,Full Fibre 900,TalkTalk,provider-direct,https://www.talktalk.co.uk/broadband,36,38.67,,known-zero,This row uses last-known-good extracted review data because the provider source was unavailable in the latest run.,24,4,0,900,900 Mbps+,fallback,usable-calculated,provider-direct-fallback-calculated,broadband-only,fixed-line-broadband,broadband-only,not-included,not-included,Fixed broadband,true,last-known-good-fallback,"Provider source was unavailable in the latest run, so this row uses the last-known-good extracted review data.",last-known-good,previous-successful-run,provider-landing-page-not-postcode-checked,active-review-only,true
