speedTier,provider,packageName,sourceName,advertisedMonthlyPrice,effectiveMonthlyPrice,speedMbps,setupFeeStatus,effectivePriceCaveat,activeDealId
35-75 Mbps,TalkTalk,Fibre 35,TalkTalk,26,28.67,35,known-zero,This row uses last-known-good extracted review data because the provider source was unavailable in the latest run.,active-fallback-talktalk-fibre-35
100-300 Mbps,TalkTalk,Full Fibre 150,TalkTalk,24,26.67,150,known-zero,This row uses last-known-good extracted review data because the provider source was unavailable in the latest run.,active-fallback-talktalk-full-fibre-150
500-900 Mbps,TalkTalk,Full Fibre 500,TalkTalk,30,32.67,500,known-zero,This row uses last-known-good extracted review data because the provider source was unavailable in the latest run.,active-fallback-talktalk-full-fibre-500
900 Mbps+,TalkTalk,Full Fibre 900,TalkTalk,36,38.67,900,known-zero,This row uses last-known-good extracted review data because the provider source was unavailable in the latest run.,active-fallback-talktalk-full-fibre-900
